year,date,name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adj,EUR_adj,GBP_adj,JPY_adj,CNY_adj,"Gross domestic product per capita, current prices (National currency)","Gross domestic product per capita, current prices (U.S. dollars)","Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Unemployment rate (Percent of total labor force)
2001,2001-04-01,Philippines,PHL,PHP,59.0,50.3,1.1729622266401591,-0.5382,-0.48136,-0.58781,-0.50528,-0.01898,,,,,,,,"51,194.49","1,003.96",62.1,5.403,11.125
2001,2001-04-01,Poland,POL,PLN,5.9,4.03,1.4640198511166254,-0.42361,-0.35266,-0.48553,-0.38252,0.22445,,,,,,,,"20,418.80","4,987.86",124.635,5.5,18.242
2001,2001-04-01,Russia,RUS,RUB,35.0,28.9,1.2110726643598617,-0.5232,-0.46451,-0.57442,-0.48921,0.0129,,,,,,,,"65,792.01","2,255.25",24.659,21.477,8.942
2001,2001-04-01,Singapore,SGP,SGD,3.3,1.81,1.8232044198895025,-0.2822,-0.19384,-0.35931,-0.23103,0.52486,,,,,,,,"38,879.93","21,699.75",75.19,1.014,2.65
2001,2001-04-01,South Africa,ZAF,ZAR,9.7,8.13,1.193111931119311,-0.53027,-0.47245,-0.58073,-0.49678,-0.00212,,,,,,,,"25,499.53","2,964.03",42.008,5.637,25.95
2001,2001-04-01,South Korea,KOR,KRW,3000.0,1325.0,2.2641509433962264,-0.1086,0.00113,-0.20436,-0.04505,0.89365,,,,,,,,,,,,
2001,2001-04-01,Sweden,SWE,SEK,24.0,10.28,2.3346303501945527,-0.08085,0.03229,-0.17959,-0.01533,0.9526,,,,,,,,"281,029.86","27,207.49",81.918,2.68,5.825
2001,2001-04-01,Switzerland,CHE,CHF,6.3,1.73,3.6416184971098264,0.43371,0.6102,0.27969,0.53592,2.04572,,,,,,,,"67,414.57","39,946.66",94.154,0.991,1.703
2001,2001-04-01,Taiwan,TWN,TWD,70.0,32.9,2.127659574468085,-0.16234,-0.05922,-0.25232,-0.10262,0.7795,,,,,,,,,,,,
2001,2001-04-01,Thailand,THA,THB,55.0,45.5,1.2087912087912087,-0.5241,-0.46552,-0.57522,-0.49017,0.01099,,,,,,,,"84,121.33","1,890.25",69.408,1.61,3.333
2001,2001-04-01,United States,USA,USD,2.54,1.0,2.54,0.0,0.1231,-0.10743,0.07129,1.12436,,,,,,,,"37,101.45","37,101.45",177.042,2.817,4.742
2002,2002-04-01,Argentina,ARG,ARS,2.5,3.13,0.7987220447284346,-0.67923,-0.66388,-0.72319,-0.60369,-0.37015,,,,,,,,"9,315.73","2,997.62",32.568,25.869,22.45
2002,2002-04-01,Australia,AUS,AUD,3.0,1.86,1.6129032258064515,-0.35225,-0.32125,-0.44103,-0.1997,0.27189,,,,,,,,"39,803.54","21,648.34",76.9,3.049,6.367
2002,2002-04-01,Brazil,BRA,BRL,3.6,2.34,1.5384615384615385,-0.38214,-0.35258,-0.46683,-0.23664,0.21319,,,,,,,,"8,340.60","2,856.03","12,491,189,222,130.30",8.45,13
2002,2002-04-01,Britain,GBR,GBP,1.99,0.689655172,2.8855000017313,0.15884,0.21428,0.0,0.43174,1.27542,,,,,,,,,,,,
2002,2002-04-01,Canada,CAN,CAD,3.33,1.57,2.1210191082802545,-0.14819,-0.10743,-0.26494,0.05241,0.67258,,,,,,,,"38,126.65","24,279.19",99.992,2.258,7.667
2002,2002-04-01,Chile,CHL,CLP,1400.0,655.0,2.1374045801526718,-0.1416,-0.10053,-0.25926,0.06054,0.6855,,,,,,,,"3,061,471.67","4,443.76",60.183,2.486,9.8
2002,2002-04-01,China,CHN,CNY,10.5,8.28,1.2681159420289856,-0.49072,-0.46635,-0.56052,-0.37078,0.0,,,,,,,,"9,445.22","1,141.14",70.386,-0.8,4
2002,2002-04-01,Czech Republic,CZE,CZK,56.28,34.0,1.6552941176470588,-0.33522,-0.30342,-0.42634,-0.17867,0.30532,,,,,,,,"263,791.20","8,056.32",77.2,1.903,7.27
2002,2002-04-01,Denmark,DNK,DKK,24.75,8.38,2.9534606205250595,0.18613,0.24288,0.02355,0.46546,1.32901,,,,,,,,"262,701.01","33,275.56",81.15,2.397,4.642
2002,2002-04-01,Euro area,EUZ,EUR,2.67,1.123595506,2.376299999192058,-0.04566,0.0,-0.17647,0.17908,0.87388,,,,,,,,,,,,
2002,2002-04-01,Hong Kong,HKG,HKD,11.2,8.0,1.4,-0.43775,-0.41085,-0.51482,-0.30534,0.104,,,,,,,,,,,,
2002,2002-04-01,Hungary,HUN,HUF,459.0,272.0,1.6875,-0.32229,-0.28986,-0.41518,-0.16269,0.33071,,,,,,,,"1,713,401.38","6,644.61",66.478,5.265,5.843
2002,2002-04-01,Indonesia,IDN,IDR,16000.0,9430.0,1.696712619300106,-0.31859,-0.28599,-0.41199,-0.15812,0.33798,,,,,,,,"9,338,261.50","1,002.91",37.494,11.903,9.06
2002,2002-04-01,Israel,ISR,ILS,12.0,4.79,2.5052192066805845,0.00611,0.05425,-0.13179,0.24305,0.97554,,,,,,,,"87,409.00","18,449.18",80.408,5.708,12.875
2002,2002-04-01,Japan,JPN,JPY,262.0,130.0,2.0153846153846153,-0.19061,-0.15188,-0.30155,0.0,0.58927,,,,,,,,"4,116,776.51","32,832.30",95.751,-0.897,5.358
